epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3028,0.85683,2.80529,1.30492,0.8082,0.38889,0.42331,0.38615,0.34397,3.17104,0.74029,0.00011669,0.00011669,0.00011669
2,20.5382,0.33058,1.74679,0.99887,0.19869,0.52017,0.50048,0.49333,0.3311,2.80646,0.72834,0.000248812,0.000248812,0.000248812
3,29.207,0.20736,1.22338,0.91707,0.9119,0.75377,0.91437,0.84231,0.51265,1.28112,1.01794,0.000379614,0.000379614,0.000379614
4,38.6699,0.20814,0.99704,0.89918,0.5238,0.83333,0.84557,0.81349,0.4434,4.02339,0.86301,0.000509096,0.000509096,0.000509096
5,45.8009,0.21789,0.80808,0.88552,0.81568,0.5,0.74949,0.64207,0.59433,3.73858,0.94329,0.000637257,0.000637257,0.000637257
6,52.5682,0.24737,0.80554,0.92007,0.66667,0.5,0.52348,0.38673,1.2451,17.8964,1.77494,0.000764099,0.000764099,0.000764099
7,60.1475,0.25971,0.68478,0.91969,0.71875,0.5,0.34008,0.1275,2.33443,14.7322,3.21838,0.00088962,0.00088962,0.00088962
8,66.8193,0.25513,0.62845,0.9196,0.46755,0.66667,0.50371,0.19126,2.046,13.6691,3.75071,0.00101382,0.00101382,0.00101382
9,74.166,0.26945,0.58713,0.91549,0.73461,0.66667,0.64112,0.3731,1.43759,5.06577,2.86024,0.0011367,0.0011367,0.0011367
10,84.9962,0.28905,0.73812,0.94717,0.73722,0.92857,0.93262,0.72567,0.90861,1.58118,1.6113,0.00125826,0.00125826,0.00125826
11,93.3024,0.29377,0.72387,0.92148,0.76727,1,0.925,0.87005,0.50484,1.5831,0.82159,0.0013785,0.0013785,0.0013785
12,99.951,0.28315,0.72281,0.91747,0.71875,0.5,0.36982,0.34926,0.32155,7.42657,0.71672,0.00149742,0.00149742,0.00149742
13,105.676,0.32836,0.78269,0.94657,0.29994,0.88447,0.64371,0.56601,0.57383,5.01298,1.04581,0.00156798,0.00156798,0.00156798
14,112.415,0.32344,0.75466,0.96691,0.41318,0.47619,0.32173,0.17599,2.31979,5.48683,2.8238,0.00155973,0.00155973,0.00155973
15,118.911,0.32136,0.74258,0.96389,0.04517,0.36508,0.04608,0.02491,2.0717,7.92661,2.06902,0.00155148,0.00155148,0.00155148
16,125.594,0.31597,0.62229,0.9607,0.50146,0.85714,0.75893,0.50473,0.93351,3.00944,1.54703,0.00154323,0.00154323,0.00154323
17,132.187,0.35652,0.61581,0.94751,0.83811,1,0.995,0.71971,0.89882,1.76939,1.50877,0.00153497,0.00153497,0.00153497
18,139.03,0.35837,0.60789,0.92931,0.95453,0.99075,0.995,0.87654,0.65707,1.23951,0.98277,0.00152672,0.00152672,0.00152672
19,145.901,0.30742,0.5778,0.92564,0.62555,1,0.9475,0.75978,0.92109,1.33991,1.33058,0.00151847,0.00151847,0.00151847
20,151.625,0.25478,0.50214,0.89249,0.911,1,0.995,0.80223,0.7564,0.93346,1.23413,0.00151022,0.00151022,0.00151022
21,157.954,0.25327,0.55771,0.91447,0.60004,0.82017,0.83877,0.68435,0.78103,2.41779,1.2309,0.00150197,0.00150197,0.00150197
22,163.531,0.25152,0.54657,0.92809,0.56555,0.77469,0.58194,0.48848,0.89934,5.78795,1.24261,0.00149372,0.00149372,0.00149372
23,169.159,0.24878,0.5311,0.92752,0.48314,0.66667,0.51341,0.35746,0.51917,6.6137,0.90007,0.00148546,0.00148546,0.00148546
24,174.853,0.25964,0.47154,0.90582,0.65958,0.84352,0.9335,0.75274,0.53092,3.94292,0.98504,0.00147721,0.00147721,0.00147721
25,180.584,0.23943,0.45805,0.91521,1,0.21429,0.54349,0.42437,0.72008,7.39635,1.46493,0.00146896,0.00146896,0.00146896
26,186.541,0.24172,0.44506,0.90339,0.52323,0.77778,0.82058,0.6314,0.84924,5.85566,1.7579,0.00146071,0.00146071,0.00146071
27,193.185,0.22556,0.43042,0.87937,0.58247,0.83333,0.59999,0.53069,0.78282,2.61805,1.13845,0.00145246,0.00145246,0.00145246
28,199.95,0.24472,0.47704,0.91202,0.76826,0.78571,0.76784,0.62843,0.50774,0.95168,0.76867,0.00144421,0.00144421,0.00144421
29,206.737,0.21675,0.44893,0.89079,0.76,0.9953,0.88883,0.87381,0.26252,0.61856,0.59919,0.00143595,0.00143595,0.00143595
30,212.545,0.23417,0.49698,0.89878,0.96523,1,0.995,0.995,0.24023,0.58656,0.57381,0.0014277,0.0014277,0.0014277
31,218.933,0.22466,0.50171,0.91463,0.80276,1,0.90533,0.89112,0.34548,1.00525,0.68388,0.00141945,0.00141945,0.00141945
32,225.309,0.25036,0.50986,0.92242,0.61043,0.77778,0.72494,0.63442,0.55464,2.064,0.84614,0.0014112,0.0014112,0.0014112
33,231.028,0.24041,0.40396,0.88724,0.70879,0.99011,0.92585,0.83902,0.58163,1.38372,0.92212,0.00140295,0.00140295,0.00140295
34,238.209,0.21442,0.43771,0.88683,0.94572,1,0.995,0.995,0.28243,0.64883,0.66247,0.0013947,0.0013947,0.0013947
35,243.912,0.19742,0.35839,0.89201,0.91635,0.96183,0.995,0.98709,0.33745,0.70158,0.69375,0.00138644,0.00138644,0.00138644
36,249.536,0.20426,0.41191,0.91057,0.85217,0.85033,0.92381,0.91839,0.28928,0.90317,0.6404,0.00137819,0.00137819,0.00137819
37,254.957,0.20624,0.39867,0.87673,0.99409,0.99648,0.995,0.995,0.21673,0.48899,0.56352,0.00136994,0.00136994,0.00136994
38,260.661,0.19469,0.3668,0.87506,0.98788,1,0.995,0.995,0.20217,0.37207,0.55042,0.00136169,0.00136169,0.00136169
39,267.784,0.19519,0.38469,0.89497,0.99128,1,0.995,0.995,0.17323,0.44436,0.52198,0.00135344,0.00135344,0.00135344
40,272.626,0.17466,0.32494,0.89128,0.98329,1,0.995,0.995,0.23599,0.42945,0.57926,0.00134519,0.00134519,0.00134519
41,277.41,0.19482,0.34432,0.88039,0.99239,1,0.995,0.99041,0.27889,0.37917,0.61011,0.00133693,0.00133693,0.00133693
42,281.928,0.20585,0.41592,0.90115,0.97315,1,0.995,0.995,0.24899,0.31722,0.59038,0.00132868,0.00132868,0.00132868
43,286.783,0.176,0.29879,0.89179,0.88519,1,0.98625,0.98625,0.21042,0.37665,0.56037,0.00132043,0.00132043,0.00132043
44,291.514,0.2009,0.34179,0.86974,0.92159,1,0.995,0.995,0.26921,0.40024,0.5857,0.00131218,0.00131218,0.00131218
45,296.747,0.1895,0.32312,0.89128,0.98852,1,0.995,0.995,0.27156,0.34184,0.58855,0.00130393,0.00130393,0.00130393
46,301.907,0.18615,0.33864,0.8956,0.98571,1,0.995,0.995,0.24314,0.37628,0.58346,0.00129568,0.00129568,0.00129568
47,307.283,0.19739,0.35121,0.86043,0.99093,1,0.995,0.995,0.26811,0.25145,0.58965,0.00128742,0.00128742,0.00128742
48,312.375,0.1771,0.3285,0.88142,0.9776,1,0.995,0.995,0.23672,0.30462,0.56972,0.00127917,0.00127917,0.00127917
49,317.919,0.1997,0.30353,0.90474,0.97079,1,0.995,0.995,0.2389,0.29229,0.58593,0.00127092,0.00127092,0.00127092
50,323.674,0.16634,0.31657,0.86054,0.99009,1,0.995,0.995,0.26526,0.32625,0.59709,0.00126267,0.00126267,0.00126267
51,328.521,0.17849,0.31445,0.88169,0.99376,1,0.995,0.995,0.22464,0.26185,0.57032,0.00125442,0.00125442,0.00125442
52,333.361,0.17441,0.32225,0.88797,0.9939,1,0.995,0.995,0.20722,0.26591,0.56485,0.00124617,0.00124617,0.00124617
53,338.93,0.19047,0.33208,0.87911,0.98656,1,0.995,0.995,0.20846,0.32133,0.58455,0.00123791,0.00123791,0.00123791
54,343.546,0.17365,0.30714,0.88094,0.92479,1,0.995,0.995,0.24847,0.60376,0.60811,0.00122966,0.00122966,0.00122966
55,348.723,0.17751,0.33627,0.89172,0.93263,1,0.995,0.96047,0.34359,0.52728,0.71403,0.00122141,0.00122141,0.00122141
56,353.936,0.1593,0.29566,0.87067,0.98757,1,0.995,0.9575,0.37168,0.42269,0.75441,0.00121316,0.00121316,0.00121316
57,360.537,0.17556,0.31239,0.84969,0.98306,1,0.995,0.97444,0.29442,0.44894,0.66703,0.00120491,0.00120491,0.00120491
58,365.743,0.15371,0.2472,0.88238,0.99302,1,0.995,0.995,0.20898,0.29978,0.58359,0.00119666,0.00119666,0.00119666
59,373.021,0.16512,0.26003,0.88439,0.98673,1,0.995,0.995,0.17796,0.28185,0.5452,0.0011884,0.0011884,0.0011884
60,379.274,0.16057,0.29765,0.87505,0.99412,1,0.995,0.995,0.16778,0.23379,0.5323,0.00118015,0.00118015,0.00118015
61,385.609,0.1605,0.2518,0.88186,0.99228,1,0.995,0.995,0.15884,0.23234,0.53182,0.0011719,0.0011719,0.0011719
62,391.532,0.16899,0.30132,0.89914,0.9082,0.99532,0.995,0.995,0.16639,0.31133,0.5301,0.00116365,0.00116365,0.00116365
63,397.238,0.1473,0.30399,0.88347,0.74635,0.94977,0.995,0.995,0.16324,0.64902,0.50862,0.0011554,0.0011554,0.0011554
64,403.155,0.14441,0.30413,0.8571,0.79983,0.99411,0.995,0.995,0.17187,0.44828,0.518,0.00114715,0.00114715,0.00114715
65,409.22,0.15653,0.282,0.87734,0.99318,1,0.995,0.995,0.18724,0.24031,0.54412,0.00113889,0.00113889,0.00113889
